

RELABLING WITH IVS - 08/06/2020 22:24:15
Meowth, 2020-06-16, FortWashington, _Fort, 13-10-14
Karrablast, 2020-06-16, FortWashington, _Fort, 3-1-8
Seedot, 2020-06-16, FortWashington, _Fort, 15-8-15
Charmander, 2020-06-15, FortWashington, _Fort, 13-14-9
Kabuto, 2020-06-15, MiddleTownship, _NJ, 8-14-9
Mantine, 2020-06-15, MiddleTownship, _NJ, 14-2-7
Slugma, 2020-06-14, MiddleTownship, _NJ, 14-15-12
Slugma, 2020-06-14, MiddleTownship, _NJ, 14-15-12
Zigzagoon, 2020-06-13, Hendrik-ldo-Ambacht, _N/A, 10-11-13
Meltan, 2020-06-13, NorthWildwood, _NJ, 10-11-13
Exeggcute, 2020-06-13, MiddleTownship, _NJ, 12-14-11
Wailmer, 2020-06-13, MiddleTownship, _NJ, 14-4-8
Krabby, 2020-06-13, MiddleTownship, _NJ, 8-6-9
Wailmer, 2020-06-13, MiddleTownship, _NJ, 11-5-7
Wailmer, 2020-06-13, MiddleTownship, _NJ, 15-8-5
Slugma, 2020-06-13, MiddleTownship, _NJ, 15-10-15
Bulbasaur, 2020-06-13, MiddleTownship, _NJ, 13-11-13
Geodude, 2020-06-13, MiddleTownship, _NJ, 14-15-15
Misdreavus, 2020-06-13, MiddleTownship, _NJ, 7-10-8
Misdreavus, 2020-06-13, MiddleTownship, _NJ, 7-10-8
Numel, 2020-06-12, MiddleTownship, _NJ, 12-15-15
Carvanha, 2020-06-12, Philadelphia, _Phila, 6-3-15
Trapinch, 2020-06-12, Oreland, _Fort, 14-14-15
Basculin, 2020-06-11, FortWashington, _Fort, 14-2-11
Basculin, 2020-06-11, FortWashington, _Fort, 14-2-11
Woobat, 2020-06-10, FortWashington, _Fort, 2-5-1
Aerodactyl, 2020-06-10, Oreland, _Fort, 13-15-10
Roselia, 2020-06-10, FortWashington, _Fort, 10-8-12
Slakoth, 2020-06-10, FortWashington, _Fort, 11-12-6
Basculin, 2020-06-10, FortWashington, _Fort, 2-15-8
Basculin, 2020-06-10, FortWashington, _Fort, 2-15-8
Buneary, 2020-06-10, FortWashington, _Fort, 14-9-14
Eevee, 2020-06-10, FortWashington, _Fort, 10-10-10
Eevee, 2020-06-10, FortWashington, _Fort, 10-10-10
Shuckle, 2020-06-10, FortWashington, _Fort, 15-13-11
Timburr, 2020-06-10, FortWashington, _Fort, 11-15-15
Cherrim, 2020-06-10, FortWashington, _Fort, 2-15-13
Cherrim, 2020-06-10, FortWashington, _Fort, 2-15-13
Purrloin, 2020-06-09, Philadelphia, _Phila, 13-13-13
Patrat, 2020-06-09, FortWashington, _Fort, 13-14-14
Gothita, 2020-06-09, Oreland, _Fort, 15-11-13
Meowth, 2020-06-09, Oreland, _Fort, 10-13-12
Shroomish, 2020-06-08, FortWashington, _Fort, 14-11-12
Minccino, 2020-06-08, Philadelphia, _Phila, 11-14-10
Venipede, 2020-06-08, Philadelphia, _Phila, 15-5-14
Phanpy, 2020-06-08, Philadelphia, _Phila, 13-6-14
Eevee, 2020-06-08, Philadelphia, _Phila, 13-15-14
Tepig, 2020-06-08, Philadelphia, _Phila, 9-9-13
Cryogonal, 2020-06-08, Philadelphia, _Phila, 10-12-15


RELABLING WITH IVS - 22/06/2020 16:36:44
---------------------Vulpix, 2020-05-24, FortWashington, _Fort, 4-10-14


RELABLING FOR TRADES - 22/06/2020 16:37:23
---------------------Vulpix, 2020-05-24, FortWashington, _Fort, 4-10-14
Golbat, 2020-05-24, FortWashington, _Fort, 8-5-11
Raichu, 2019-08-02, FortWashington, _Fort, 3-15-13
Wailmer, 2020-05-24, FortWashington, _Fort, 0-8-9
Wailmer, 2020-05-24, FortWashington, _Fort, 4-12-11
Magikarp, 2020-05-24, Oreland, _Fort, 12-14-10
Chansey, 2020-05-05, NewYork, _NY, 4-9-4
Torchic, 2020-05-20, FortWashington, _Fort, 11-9-11
Chinchou, 2020-05-18, KittianVillage, _N/A, 11-10-12


RELABLING WITH IVS - 22/06/2020 16:41:49
---------------------Trapinch, 2020-06-22, NorthWildwood, NJ, 15-12-12
Growlithe, 2020-06-22, MiddleTownship, NJ, 5-15-12
Barboach, 2020-06-22, MiddleTownship, NJ, 3-3-14
Lunatone, 2020-06-22, MiddleTownship, NJ, 10-4-7
Lunatone, 2020-06-22, MiddleTownship, NJ, 10-4-7
